"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.31 4:45 PM GMT","Road America - Full Course","IMSA Sportscar Championship","2019","3","N/A","8","3712",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"23","73","Audi R8 LMS","473","IMSA2 GT3","366619","366619","Andreas Fink","30","20","0","Running","-1 L","0","","2:09.620","2:05.179","11","22","10","66","0","2","42","DE-AT-CH","3387","3358","19","323","19","313","IMSA Sportscar Championship","45","0","66"
"24","73","Audi R8 LMS","473","IMSA2 GT3","50580","50580","Marco Pereira","33","29","0","Running","-1 L","0","","2:10.753","2:05.623","11","22","13","53","0","4","38","Iberia","2296","2284","19","333","19","309","IMSA Sportscar Championship","45","0","53"
"25","72","Mercedes AMG GT3","473","IMSA2 GT3","164929","164929","Ziad El-Mustafa","31","23","0","Running","-1 L","0","","2:10.900","2:05.551","8","22","4","39","0","2","42","DE-AT-CH","2900","2856","19","332","19","338","IMSA Sportscar Championship","45","0","39"
"26","109","BMW M8 GTE","100","GTE Class","199316","199316","Maximilian Wenig","6","1","29","Disqualified","-3 L","0","","2:04.140","2:00.772","2","20","17","61","0","1","42","DE-AT-CH","7452","7363","28","414","27","311","IMSA Sportscar Championship","55","0","61"
"27","73","Audi R8 LMS","473","IMSA2 GT3","352807","352807","Maik Thurmann","23","28","0","Running","-5 L","0","","2:09.945","2:04.688","4","18","6","26","0","3","42","DE-AT-CH","2493","2446","19","352","19","349","IMSA Sportscar Championship","45","0","26"
"28","93","Ferrari 488 GTE","100","GTE Class","175004","175004","Michael Erian","19","17","29","Disqualified","-6 L","0","","2:05.349","2:01.457","4","17","17","40","0","1","1","International Club","4747","4705","18","229","18","200","IMSA Sportscar Championship","55","0","40"
"29","72","Mercedes AMG GT3","473","IMSA2 GT3","302048","302048","Emanuel Fernandez","27","31","29","Disqualified","-6 L","0","","2:11.242","2:05.348","5","17","17","13","0","3","24","Hispanoamérica","2109","2060","18","237","18","207","IMSA Sportscar Championship","45","0","13"
"30","70","Chevrolet Corvette C7 Daytona Prototype","77","Corvette C7 Daytona Prototype","362628","362628","Alexander Veldman","2","33","29","Disqualified","-11 L","0","","2:02.575","2:00.389","7","12","17","18","0","7","43","Scandinavia","1065","1025","13","198","13","164","IMSA Sportscar Championship","60","0","18"
"31","73","Audi R8 LMS","473","IMSA2 GT3","324785","324785","Timothy Reed4","32","24","32","Disconnected","-15 L","0","","2:10.642","2:05.192","6","8","11","6","0","2","18","Atlantic","2882","2795","19","396","19","343","IMSA Sportscar Championship","45","0","6"
"32","109","BMW M8 GTE","100","GTE Class","110992","110992","Marco Gabriele Nesi","18","6","32","Disconnected","-19 L","0","","2:11.895","2:02.318","2","4","6","20","0","1","41","Italy","6372","6281","27","308","26","243","IMSA Sportscar Championship","55","0","20"
"33","109","BMW M8 GTE","100","GTE Class","266999","266999","Dominik Färber","16","8","32","Disconnected","-20 L","0","","2:11.643","","","3","6","10","0","1","42","DE-AT-CH","6072","5976","28","435","28","401","IMSA Sportscar Championship","55","0","10"
