"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.28 5:00 PM GMT","Autódromo José Carlos Pace - Grand Prix","VRS GT Endurance Series","2019","3","N/A","7","2717",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"32","73","Audi R8 LMS","59","GT3 Class","-84739","303804","Nils Benedikt","9","27","32","Disconnected","-","0","","1:31.749","1:31.282","68","30","3","48","0","1","42","DE-AT-CH","4550","4524","19","355","19","372","VRS GT Endurance Series","100","0","48"
"33","72","Mercedes AMG GT3","59","GT3 Class","-134051","-134051","ROS PLATINUM","20","2","32","Disconnected","-59 L","0","","1:33.288","1:31.676","21","58","24","44","0","0","","","","","","","","","VRS GT Endurance Series","100","0","44"
"33","72","Mercedes AMG GT3","59","GT3 Class","-134051","343542","Szymon Sakowicz","20","2","32","Disconnected","-","0","","1:33.699","1:31.839","52","17","13","44","0","3","46","Central-Eastern Europe","2276","2258","14","261","14","244","VRS GT Endurance Series","100","0","44"
"33","72","Mercedes AMG GT3","59","GT3 Class","-134051","373898","Mateusz Tyszkiewicz","20","2","32","Disconnected","-","0","","1:33.137","1:31.676","21","41","11","44","0","3","46","Central-Eastern Europe","3907","3865","14","263","14","284","VRS GT Endurance Series","100","0","44"
"34","73","Audi R8 LMS","59","GT3 Class","-131161","-131161","Gaming Paddock Racing 100oc","6","888","32","Disconnected","-109 L","0","","1:37.248","1:31.869","5","8","14","40","0","0","","","","","","","","","VRS GT Endurance Series","100","0","40"
"34","73","Audi R8 LMS","59","GT3 Class","-131161","225398","Flávio Saturnino","6","888","32","Disconnected","-","0","","1:37.248","1:31.869","5","7","12","40","0","2","38","Iberia","2806","2759","15","337","15","311","VRS GT Endurance Series","100","0","40"
"34","73","Audi R8 LMS","59","GT3 Class","-131161","303171","Pedro Pimenta2","6","888","32","Disconnected","-","0","","00.000","","","1","2","40","0","1","38","Iberia","3992","3985","20","418","20","410","VRS GT Endurance Series","100","0","40"
"35","72","Mercedes AMG GT3","59","GT3 Class","-114229","-114229","Team William Cabrera","18","96","29","Disqualified","-117 L","0","","00.000","","","0","25","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"35","72","Mercedes AMG GT3","59","GT3 Class","-114229","334577","William Cabrera","18","96","29","Disqualified","-","0","","1:34.491","1:31.791","2","52","25","0","0","2","38","Iberia","2447","2402","11","391","11","377","VRS GT Endurance Series","100","0","0"
"36","94","Ferrari 488 GT3","59","GT3 Class","-96362","-96362","NINJAS DO IRACING","33","149","32","Disconnected","-117 L","0","","00.000","","","0","16","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"36","94","Ferrari 488 GT3","59","GT3 Class","-96362","346652","Luiz Colonhezi","33","149","32","Disconnected","-","0","","1:42.101","1:32.657","43","48","16","0","0","3","45","Brazil","1801","1772","14","295","14","299","VRS GT Endurance Series","100","0","0"
"37","73","Audi R8 LMS","59","GT3 Class","-75272","-75272","Team Mats-Thorge Huthsfeldt","44","7","32","Disconnected","-117 L","0","","00.000","","","0","6","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"37","73","Audi R8 LMS","59","GT3 Class","-75272","225176","Mats-Thorge Huthsfeldt","44","7","32","Disconnected","-","0","","1:33.946","1:31.318","26","29","6","0","0","1","42","DE-AT-CH","5769","5643","20","499","20","499","VRS GT Endurance Series","100","0","0"
"38","72","Mercedes AMG GT3","59","GT3 Class","-87228","-87228","WILD ANIMAL RUSSIA BALALAIKA","23","11","32","Disconnected","-117 L","0","","00.000","","","0","16","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"38","72","Mercedes AMG GT3","59","GT3 Class","-87228","263693","Eduard Zinov","23","11","32","Disconnected","-","0","","1:35.184","1:32.731","8","19","16","0","0","2","46","Central-Eastern Europe","2673","2608","14","242","14","226","VRS GT Endurance Series","100","0","0"
"39","55","BMW Z4 GT3","59","GT3 Class","-70365","-70365","9.RC HGD","40","9","32","Disconnected","-117 L","0","","00.000","","","0","12","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"39","55","BMW Z4 GT3","59","GT3 Class","-70365","261931","Jeremy Hartman","40","9","32","Disconnected","-","0","","1:35.123","1:32.841","6","18","12","0","0","3","22","Florida","1756","1716","19","334","19","307","VRS GT Endurance Series","100","0","0"
"40","94","Ferrari 488 GT3","59","GT3 Class","-116685","-116685","L1 e-Sports","24","21","32","Disconnected","-117 L","0","","00.000","","","0","6","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"40","94","Ferrari 488 GT3","59","GT3 Class","-116685","355007","Rafael Russo","24","21","32","Disconnected","-","0","","1:38.085","1:32.294","2","5","6","0","0","3","45","Brazil","2518","2449","20","473","20","443","VRS GT Endurance Series","100","0","0"
"41","72","Mercedes AMG GT3","59","GT3 Class","-121814","-121814","ALTEP SimRacing #2","22","15","32","Disconnected","-117 L","0","","00.000","","","0","6","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"41","72","Mercedes AMG GT3","59","GT3 Class","-121814","62166","Olda Stepanovsky","22","15","32","Disconnected","-","0","","00.000","","","1","6","0","0","3","46","Central-Eastern Europe","2352","2284","19","338","19","315","VRS GT Endurance Series","100","0","0"
"42","72","Mercedes AMG GT3","59","GT3 Class","-122891","-122891","No Nonsense Racing #001","30","001","32","Disconnected","-117 L","0","","00.000","","","0","6","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"42","72","Mercedes AMG GT3","59","GT3 Class","-122891","298788","Håkan Ågren","30","001","32","Disconnected","-","0","","00.000","","","1","6","0","0","2","43","Scandinavia","3874","3760","18","239","18","216","VRS GT Endurance Series","100","0","0"
"43","94","Ferrari 488 GT3","59","GT3 Class","-53079","-53079","rajcing.at","19","99","32","Disconnected","-117 L","0","","00.000","","","0","9","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"43","94","Ferrari 488 GT3","59","GT3 Class","-53079","172159","Andre Rajkovic","19","99","32","Disconnected","-","0","","00.000","","","1","9","0","0","1","42","DE-AT-CH","3724","3609","19","354","19","317","VRS GT Endurance Series","100","0","0"
"44","72","Mercedes AMG GT3","59","GT3 Class","-119738","-119738","TEAM GB ESPORTS VRS RED","16","77","32","Disconnected","-117 L","0","","00.000","","","0","8","0","0","0","","","","","","","","","VRS GT Endurance Series","100","0","0"
"44","72","Mercedes AMG GT3","59","GT3 Class","-119738","294522","Martin Buch Bertelsen","16","77","32","Disconnected","-","0","","00.000","","","0","8","0","0","3","43","Scandinavia","2283","2203","15","330","15","310","VRS GT Endurance Series","100","0","0"
